input_dataset,method,agents,agent_topk,avg_top1,val_avg_top1,seed,irl_lr,irl_epochs,irl_greedy,irl_tau,irl_weights,dt_negatives,dt_max_depth
ticket_log_platinum.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.4925373134328358, 0.5074626865671642, 0.5074626865671642], 'Bob': [0.25, 0.265625, 0.265625], 'Carol': [0.4927536231884058, 0.5217391304347826, 0.5217391304347826]}",0.4117636455404139,0.37721291866028706,42,0.005,100,False,1.0,,10,
ticket_log_platinum.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.11940298507462686, 0.208955223880597, 0.31343283582089554], 'Bob': [0.109375, 0.21875, 0.265625], 'Carol': [0.08695652173913043, 0.17391304347826086, 0.2463768115942029]}",0.10524483560458577,0.2949162679425837,42,0.005,100,False,1.0,,10,5
ticket_log_platinum.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.16417910447761194, 0.19402985074626866, 0.19402985074626866], 'Bob': [0.109375, 0.125, 0.15625], 'Carol': [0.14492753623188406, 0.15942028985507245, 0.15942028985507245]}",0.13949388023649867,0.2963782562466773,42,0.005,100,False,1.0,,10,10
ticket_log_platinum.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.29850746268656714, 0.31343283582089554, 0.31343283582089554], 'Bob': [0.375, 0.390625, 0.390625], 'Carol': [0.42028985507246375, 0.4492753623188406, 0.4492753623188406]}",0.364599105919677,0.4206140350877193,42,0.005,100,False,1.0,,10,20
ticket_log_platinum.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.19402985074626866, 0.208955223880597, 0.208955223880597], 'Bob': [0.21875, 0.234375, 0.234375], 'Carol': [0.18840579710144928, 0.21739130434782608, 0.21739130434782608]}",0.20039521594923934,0.3928362573099415,42,0.005,100,False,1.0,,10,
ticket_log_random.csv,random,"Alice,Bob,Carol","{'Alice': [0.06779661016949153, 0.1694915254237288, 0.23728813559322035], 'Bob': [0.08108108108108109, 0.16216216216216217, 0.21621621621621623], 'Carol': [0.11940298507462686, 0.19402985074626866, 0.2537313432835821]}",0.08942689210839982,,42,0.005,100,False,1.0,,50,5
ticket_log_random.csv,fifo,"Alice,Bob,Carol","{'Alice': [0.15254237288135594, 0.2542372881355932, 0.3220338983050847], 'Bob': [0.04054054054054054, 0.13513513513513514, 0.22972972972972974], 'Carol': [0.11940298507462686, 0.208955223880597, 0.2537313432835821]}",0.10416196616550778,,42,0.005,100,False,1.0,,50,5
ticket_log_random.csv,irl,"Alice,Bob,Carol","{'Alice': [0.11864406779661017, 0.1864406779661017, 0.288135593220339], 'Bob': [0.13513513513513514, 0.1891891891891892, 0.25675675675675674], 'Carol': [0.1044776119402985, 0.19402985074626866, 0.23880597014925373]}",0.11941893829068129,0.12497088283251805,42,0.001,100,True,1.0,"{'Carol': array([-4.98572265e-04,  6.44034997e-01,  7.04954583e-01,  6.23942165e-01,
        2.25470880e-01,  3.52938726e-01,  1.18638651e-01,  1.37550117e-01,
        5.28683057e-02, -1.03894761e-01]), 'Alice': array([ 0.1229553 ,  0.69414812,  0.66670066,  0.62599237,  0.2981651 ,
        0.20930621,  0.22284682, -0.03099238, -0.04307257, -0.10919901]), 'Bob': array([-0.18301808,  0.60330936,  0.66116159,  0.72313134,  0.2912141 ,
        0.2477012 ,  0.18237402,  0.06075901, -0.11312957, -0.12230464])}",50,5
ticket_log_random.csv,irl,"Alice,Bob,Carol","{'Alice': [0.1016949152542373, 0.22033898305084745, 0.2711864406779661], 'Bob': [0.12162162162162163, 0.20270270270270271, 0.28378378378378377], 'Carol': [0.08955223880597014, 0.16417910447761194, 0.23880597014925373]}",0.10428959189394303,0.13126019100861866,42,0.005,100,True,1.0,"{'Carol': array([-0.00170301,  0.64507773,  0.70625644,  0.62138963,  0.22514675,
        0.35353524,  0.11815258,  0.13655989, -0.12209422, -0.27750173]), 'Alice': array([ 0.12265029,  0.69421763,  0.66939577,  0.62303384,  0.29939281,
        0.20856832,  0.22237995, -0.0306743 , -0.32996262, -0.39660919]), 'Bob': array([-0.18369525,  0.60401683,  0.66570231,  0.71747709,  0.29246747,
        0.24729208,  0.18138798,  0.05711133, -0.47087835, -0.47645363])}",50,5
ticket_log_random.csv,irl,"Alice,Bob,Carol","{'Alice': [0.1016949152542373, 0.1864406779661017, 0.288135593220339], 'Bob': [0.10810810810810811, 0.17567567567567569, 0.1891891891891892], 'Carol': [0.07462686567164178, 0.13432835820895522, 0.22388059701492538]}",0.09480996301132906,0.1377824365245749,42,0.01,100,True,1.0,"{'Carol': array([-0.02717517,  0.73535694,  0.59898946,  0.64345897,  0.12396753,
        0.44215287,  0.11283243,  0.1008632 , -0.20914217, -0.3313877 ]), 'Alice': array([ 0.25691641,  0.3987815 ,  0.96629735,  0.61632634,  0.3925282 ,
       -0.04995089,  0.49312733,  0.06521   , -0.42559037, -0.62973818]), 'Bob': array([-0.19670093,  0.41231554,  0.87716809,  0.69206194,  0.46510015,
       -0.00836898,  0.34562265,  0.10778035, -0.56628654, -0.77260027])}",50,5
